,user_id,username,grup_id
0,34994929,breezecalaf,-1002017270889
1,34994929,breezecalaf,-1001439715669
2,1476777653,Dinesollllll,-1001439715669
3,1351759199,dahgantiuname,-1001439715669
4,1169428420,hana,-1001439715669
5,709970427,irv,-1001439715669
6,34994929,breezecalaf,-1001380311040
7,1351759199,dahgantiuname,-1001380311040
8,175309493,Raka_Arista,-1001380311040
9,1476777653,Dinesollllll,-1001380311040
10,1118380965,prya,-1001380311040
11,1169428420,hana,-1001380311040
12,842701784,yespapah,-1001380311040
13,1361226995,daddysharks,-1001380311040
14,1231363261,salwa05,-1001380311040
15,709970427,irv,-1001380311040
16,974991742,Grumpybutfun,-1001380311040
17,175309493,Raka_Arista,-1001439715669
18,1118380965,prya,-1001439715669
19,7243094552,Yos,-1001439715669
20,842701784,yespapah,-1001439715669
21,1361226995,sarkasepp,-1001439715669
22,34994929,breezecopter,34994929
